date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-16,CIN,COL,0,-1,13,100,70,0.7,1.0,12.4,1,4.5,4.63,4.867,77,104,1.4,-36.0,-15.1,1,4.8,4.34,4.295
2021-05-16,ATL,MIL,1,1,19,97,69,12.5,-18.0,8.5,1,3.47,4.05,5.286,74,99,-0.4,5.0,5.4,1,3.13,4.36,5.576
2021-05-16,SFG,PIT,0,-3,5,73,81,7.2,-8.0,-3.9,1,5.3,4.67,3.867,102,92,5.5,27.0,-6.4,-1,2.96,4.2,6.0
2021-05-16,LAA,BOS,0,-1,11,112,102,0.4,-39.0,-4.4,1,3.59,4.23,5.625,88,99,3.9,-24.0,6.8,-1,3.91,4.38,3.5
2021-05-16,KCR,CHW,1,1,7,133,99,-13.4,-10.0,-0.9,1,3.72,3.83,5.005,79,89,-17.3,23.0,13.2,1,4.4,4.5,4.576
2021-05-16,OAK,MIN,0,-1,13,100,99,5.9,5.0,-3.1,1,4.09,4.27,4.724,109,89,9.0,20.0,11.8,1,3.46,4.69,6.004
2021-05-16,NYM,TBR,1,6,8,83,98,5.1,32.0,11.2,-1,4.73,3.98,5.344,111,90,2.2,24.0,-13.5,1,3.32,4.15,5.008
2021-05-16,PHI,TOR,1,2,18,96,89,5.0,-13.0,2.8,-1,3.57,4.22,5.678,88,82,6.2,-20.0,7.8,1,5.34,4.27,4.429
2021-05-17,NYM,ATL,0,-2,4,76,97,-0.4,5.0,5.4,-1,4.31,4.36,4.4,98,90,2.2,24.0,-13.5,1,4.21,4.15,5.857
2021-05-17,WSN,CHC,1,4,10,95,89,-4.3,11.0,-8.6,1,3.47,4.26,5.333,108,85,-6.8,-27.0,-25.4,-1,4.78,4.75,5.333
2021-05-17,SFG,CIN,0,-3,9,77,104,1.4,-36.0,-15.1,1,3.05,4.34,5.007,102,92,5.5,27.0,-6.4,1,3.3,4.2,5.286
2021-05-17,ARI,LAD,1,2,4,81,117,4.4,-13.0,9.3,1,3.07,4.07,6.29,110,86,-2.6,-14.0,6.6,-1,4.1,4.98,5.383
